Size;Test_Number;BFS;DFS;BestFS
Size 4;Test_Number 55;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 56;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 57;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 58;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 59;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 60;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 61;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 62;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 63;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 64;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 65;BFS 11;DFS 9;BestFS 14
Size 4;Test_Number 66;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 67;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 68;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 69;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 70;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 71;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 72;BFS 10;DFS 9;BestFS 13
Size 4;Test_Number 73;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 74;BFS 9;DFS 9;BestFS 13
Size 4;Test_Number 75;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 76;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 77;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 78;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 79;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 80;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 81;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 82;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 83;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 84;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 85;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 86;BFS 10;DFS 9;BestFS 13
Size 4;Test_Number 87;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 88;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 89;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 90;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 91;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 92;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 93;BFS 10;DFS 9;BestFS 13
Size 4;Test_Number 94;BFS 10;DFS 10;BestFS 13
Size 4;Test_Number 95;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 96;BFS 10;DFS 8;BestFS 13
Size 4;Test_Number 97;BFS 10;DFS 9;BestFS 13
Size 4;Test_Number 98;BFS 9;DFS 9;BestFS 13
Size 4;Test_Number 99;BFS 9;DFS 9;BestFS 13
Size 4;Test_Number 100;BFS 9;DFS 9;BestFS 13
Size 5;Test_Number 1;BFS 51;DFS 38;BestFS 75
Size 5;Test_Number 2;BFS 42;DFS 38;BestFS 67
Size 5;Test_Number 3;BFS 42;DFS 35;BestFS 65
Size 5;Test_Number 4;BFS 39;DFS 36;BestFS 66
Size 5;Test_Number 5;BFS 52;DFS 37;BestFS 66
Size 5;Test_Number 6;BFS 40;DFS 33;BestFS 62
Size 5;Test_Number 7;BFS 38;DFS 33;BestFS 59
Size 5;Test_Number 8;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 9;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 10;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 11;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 12;BFS 36;DFS 32;BestFS 61
Size 5;Test_Number 13;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 14;BFS 36;DFS 32;BestFS 60
Size 5;Test_Number 15;BFS 36;DFS 162;BestFS 61
Size 5;Test_Number 16;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 17;BFS 36;DFS 33;BestFS 58
Size 5;Test_Number 18;BFS 37;DFS 32;BestFS 59
Size 5;Test_Number 19;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 20;BFS 48;DFS 32;BestFS 59
Size 5;Test_Number 21;BFS 36;DFS 32;BestFS 61
Size 5;Test_Number 22;BFS 38;DFS 34;BestFS 61
Size 5;Test_Number 23;BFS 36;DFS 33;BestFS 62
Size 5;Test_Number 24;BFS 38;DFS 34;BestFS 60
Size 5;Test_Number 25;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 26;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 27;BFS 36;DFS 32;BestFS 60
Size 5;Test_Number 28;BFS 36;DFS 33;BestFS 58
Size 5;Test_Number 29;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 30;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 31;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 32;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 33;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 34;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 35;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 36;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 37;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 38;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 39;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 40;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 41;BFS 37;DFS 33;BestFS 59
Size 5;Test_Number 42;BFS 36;DFS 32;BestFS 62
Size 5;Test_Number 43;BFS 36;DFS 33;BestFS 59
Size 5;Test_Number 44;BFS 38;DFS 34;BestFS 61
Size 5;Test_Number 45;BFS 37;DFS 34;BestFS 61
Size 5;Test_Number 46;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 47;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 48;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 49;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 50;BFS 38;DFS 35;BestFS 62
Size 5;Test_Number 51;BFS 39;DFS 33;BestFS 59
Size 5;Test_Number 52;BFS 37;DFS 33;BestFS 59
Size 5;Test_Number 53;BFS 35;DFS 33;BestFS 61
Size 5;Test_Number 54;BFS 36;DFS 33;BestFS 61
Size 5;Test_Number 55;BFS 36;DFS 32;BestFS 60
Size 5;Test_Number 56;BFS 36;DFS 32;BestFS 60
Size 5;Test_Number 57;BFS 36;DFS 33;BestFS 60
Size 5;Test_Number 58;BFS 38;DFS 34;BestFS 65
Size 5;Test_Number 59;BFS 42;DFS 34;BestFS 61
Size 5;Test_Number 60;BFS 36;DFS 34;BestFS 61
Size 5;Test_Number 61;BFS 37;DFS 33;BestFS 62
Size 5;Test_Number 62;BFS 37;DFS 34;BestFS 61
Size 5;Test_Number 63;BFS 37;DFS 33;BestFS 61
Size 5;Test_Number 64;BFS 37;DFS 33;BestFS 60
Size 5;Test_Number 65;BFS 36;DFS 32;BestFS 58
Size 5;Test_Number 66;BFS 38;DFS 33;BestFS 60
Size 5;Test_Number 67;BFS 36;DFS 32;BestFS 59
